"","study.area","station.season","station","season","utm_x","utm_y","dst.waterbodies","dst_rivers","dst_streams","dst_settlement","dst_roads","roads500m","dst.water","dst.human","rabbit.ts","lynx.ts","rodent.ts","TC500nb","nTC500nb","nV500nb","EVI500nb","TC500b","nTC500b","nV500b","EVI500b","rbbt.ha.nb","rbbt.se.nb","rbbt.ha.b","rbbt.se.b","rdt.ha.nb","rdt.se.nb","rdt.ha.b","rdt.se.b"
"88","CNP","P43w","P43","breeding",-4.36983,39.3424,6.339984012,9.551631715,5.101297347,9.400826378,7.158485134,0,5.101297347,7.158485134,0,0,17.8571428571429,12.75,64.5833333333333,22.6666666666667,29012500,17.4166666666667,75.0833333333333,7.5,31557500,1.792,0.919636159938628,4.67714285714286,1.84782683964273,0.713774557466161,0.206883890036136,1.91044988024427,1.13295995544231
"89","GVNP","CT01a","CT01","nonbreeding",-7.81682,37.71428,0.12161223,0.017768501,7.583327931,1.092657415,0.146028505,929.912,0.017768501,0.146028505,248.571428571429,0,2.85714285714286,1.84615384615385,84.1538461538462,14,30849230.7692308,3.92307692307692,88.4615384615385,7.61538461538461,46554615.3846154,48.2726666666667,8.43225900177502,45.6073333333333,8.41933084472964,2.26757369614512,0.711512419854659,1.60064025610244,0.781100031787901
"90","GVNP","CT01w","CT01","breeding",-7.81682,37.71428,0.12161223,0.017768501,7.583327931,1.092657415,0.146028505,929.912,0.017768501,0.146028505,10.7142857142857,0,0,1.84615384615385,84.1538461538462,14,30849230.7692308,3.92307692307692,88.4615384615385,7.61538461538461,46554615.3846154,48.2726666666667,8.43225900177502,45.6073333333333,8.41933084472964,2.26757369614512,0.711512419854659,1.60064025610244,0.781100031787901
"91","GVNP","CT02a","CT02","nonbreeding",-7.80602,37.70472,0.796627381,0.058876776,8.965539781,0.735751572,0.638242314,0,0.058876776,0.638242314,17.1428571428571,0,0,2.45454545454545,81.4545454545455,16.0909090909091,32837272.7272727,4.63636363636364,87.8181818181818,7.54545454545455,39679090.9090909,48.2726666666667,8.43225900177502,45.6073333333333,8.41933084472964,2.26757369614512,0.711512419854659,1.60064025610244,0.781100031787901
"92","GVNP","CT02w","CT02","breeding",-7.80602,37.70472,0.796627381,0.058876776,8.965539781,0.735751572,0.638242314,0,0.058876776,0.638242314,42.8571428571429,0,3.57142857142857,2.45454545454545,81.4545454545455,16.0909090909091,32837272.7272727,4.63636363636364,87.8181818181818,7.54545454545455,39679090.9090909,48.2726666666667,8.43225900177502,45.6073333333333,8.41933084472964,2.26757369614512,0.711512419854659,1.60064025610244,0.781100031787901
"93","GVNP","CT06a","CT06","nonbreeding",-7.75398,37.69723,1.176267774,3.095736555,7.297974602,2.117913997,0.688357054,0,1.176267774,0.688357054,19.4444444444444,0,5.55555555555556,9.07692307692308,83.3846153846154,7.53846153846154,31660000,9.84615384615385,81.6153846153846,8.53846153846154,41076923.0769231,48.2726666666667,8.43225900177502,45.6073333333333,8.41933084472964,2.26757369614512,0.711512419854659,1.60064025610244,0.781100031787901
"94","GVNP","CT06w","CT06","breeding",-7.75398,37.69723,1.176267774,3.095736555,7.297974602,2.117913997,0.688357054,0,1.176267774,0.688357054,150,0,46.4285714285714,9.07692307692308,83.3846153846154,7.53846153846154,31660000,9.84615384615385,81.6153846153846,8.53846153846154,41076923.0769231,48.2726666666667,8.43225900177502,45.6073333333333,8.41933084472964,2.26757369614512,0.711512419854659,1.60064025610244,0.781100031787901
"95","GVNP","CT07a","CT07","nonbreeding",-7.81127,37.6909,1.420795784,0.697681019,9.547014096,1.623398059,1.553719373,0,0.697681019,1.553719373,371.428571428571,0,28.5714285714286,1.71428571428571,78.5,19.7857142857143,23057857.1428571,3,82.6428571428571,14.3571428571429,33792142.8571429,48.2726666666667,8.43225900177502,45.6073333333333,8.41933084472964,2.26757369614512,0.711512419854659,1.60064025610244,0.781100031787901
"96","GVNP","CT07w","CT07","breeding",-7.81127,37.6909,1.420795784,0.697681019,9.547014096,1.623398059,1.553719373,0,0.697681019,1.553719373,34.4827586206897,0,3.44827586206897,1.71428571428571,78.5,19.7857142857143,23057857.1428571,3,82.6428571428571,14.3571428571429,33792142.8571429,48.2726666666667,8.43225900177502,45.6073333333333,8.41933084472964,2.26757369614512,0.711512419854659,1.60064025610244,0.781100031787901
"97","GVNP","CT08a","CT08","nonbreeding",-7.78397,37.68823,2.542934199,0.119057309,10.09638853,2.155780981,1.992744919,0,0.119057309,1.992744919,17.1428571428571,0,2.85714285714286,4.08333333333333,78.1666666666667,17.75,25868333.3333333,6.58333333333333,83.6666666666667,9.75,29917500,48.2726666666667,8.43225900177502,45.6073333333333,8.41933084472964,2.26757369614512,0.711512419854659,1.60064025610244,0.781100031787901
