station,study.area,utm_x,utm_y,field_1,LC2012,LC2011,LC2013,LC2009,LC2010,%LC2012,%LC2011,%LC2009,%LC2013,%LC2010
Dp.01,D.Pepita,-4.00280,38.13531,0,8.00000,8.00000,8.00000,8.00000,8.00000,78.00000,62.00000,80.00000,54.00000,38.00000
Dp.02,D.Pepita,-4.00204,38.13578,0,8.00000,8.00000,8.00000,8.00000,8.00000,76.00000,51.00000,59.00000,51.00000,59.00000
Gg.31,Gorgogil,-3.91126,38.14902,0,8.00000,8.00000,9.00000,7.00000,8.00000,58.00000,58.00000,45.00000,52.00000,58.00000
Gg.32,Gorgogil,-3.90193,38.15187,0,9.00000,9.00000,8.00000,9.00000,9.00000,51.00000,39.00000,49.00000,58.00000,39.00000
Gg.35,Gorgogil,-3.89122,38.15392,0,8.00000,8.00000,8.00000,7.00000,8.00000,42.00000,44.00000,31.00000,54.00000,44.00000
Gg.36,Gorgogil,-3.89262,38.16348,0,8.00000,8.00000,9.00000,10.00000,8.00000,41.00000,41.00000,45.00000,37.00000,41.00000
Gg.Coi,Gorgogil,-3.91803,38.15126,0,9.00000,7.00000,9.00000,10.00000,7.00000,52.00000,27.00000,49.00000,52.00000,52.00000
Gg.Foi,Gorgogil,-3.92166,38.14449,0,9.00000,8.00000,10.00000,10.00000,8.00000,34.00000,30.00000,33.00000,63.00000,30.00000
Ho.01,Horcajuelo,-3.94522,38.13594,0,8.00000,8.00000,8.00000,8.00000,8.00000,62.00000,67.00000,43.00000,41.00000,43.00000
Ho.02,Horcajuelo,-3.94524,38.12882,0,8.00000,8.00000,8.00000,8.00000,8.00000,62.00000,72.00000,60.00000,61.00000,72.00000
Ho.03,Horcajuelo,-3.95314,38.12040,0,8.00000,8.00000,8.00000,8.00000,8.00000,54.00000,54.00000,66.00000,80.00000,66.00000
Ho.06,Horcajuelo,-3.95062,38.10884,0,8.00000,8.00000,8.00000,8.00000,8.00000,73.00000,54.00000,59.00000,51.00000,54.00000
Ho.07,Horcajuelo,-3.93427,38.13439,0,8.00000,7.00000,8.00000,8.00000,8.00000,52.00000,45.00000,53.00000,60.00000,53.00000
Ho.09.2013-14,Horcajuelo,-3.95757,38.10928,0,8.00000,8.00000,8.00000,8.00000,8.00000,77.00000,45.00000,60.00000,71.00000,72.00000
Ho.09.2011,Horcajuelo,-3.95637,38.11271,0,8.00000,8.00000,8.00000,8.00000,8.00000,73.00000,73.00000,62.00000,66.00000,37.00000
Ho.10,Horcajuelo,-3.92909,38.12595,0,9.00000,8.00000,8.00000,8.00000,9.00000,30.00000,59.00000,43.00000,63.00000,53.00000
Ho.11,Horcajuelo,-3.94069,38.11278,0,9.00000,9.00000,9.00000,9.00000,9.00000,65.00000,65.00000,56.00000,65.00000,56.00000
Lastrillas,Lastrillas,-3.92031,38.20263,0,8.00000,8.00000,8.00000,7.00000,7.00000,57.00000,50.00000,30.00000,57.00000,30.00000
Lst.CCC,Las Lastrillas,-3.91997,38.20068,0,8.00000,8.00000,8.00000,7.00000,7.00000,57.00000,50.00000,30.00000,57.00000,30.00000
Ma.18,Montealegre,-4.09548,38.23442,0,9.00000,9.00000,9.00000,9.00000,7.00000,73.00000,73.00000,66.00000,73.00000,51.00000
Ma.20,Montealegre,-4.10523,38.23456,0,9.00000,9.00000,9.00000,9.00000,9.00000,92.00000,92.00000,40.00000,92.00000,54.00000
Ma.23,Montealegre,-4.11348,38.23552,0,8.00000,8.00000,8.00000,9.00000,8.00000,53.00000,64.00000,57.00000,85.00000,64.00000
